Loss: -5.85	Ppl: 543.76	in Epoch1
Loss: -5.50	Ppl: 316.89	in Epoch2
Loss: -5.41	Ppl: 261.30	in Epoch3
Loss: -5.51	Ppl: 228.13	in Epoch4
Loss: -5.33	Ppl: 205.11	in Epoch5
Loss: -5.20	Ppl: 187.47	in Epoch6
Loss: -5.07	Ppl: 173.28	in Epoch7
Loss: -4.99	Ppl: 161.38	in Epoch8
Loss: -4.93	Ppl: 151.21	in Epoch9
Loss: -4.87	Ppl: 142.10	in Epoch10
Loss: -4.77	Ppl: 134.04	in Epoch11
Loss: -4.85	Ppl: 126.69	in Epoch12
Loss: -4.87	Ppl: 120.00	in Epoch13
Loss: -4.84	Ppl: 113.76	in Epoch14
Loss: -4.71	Ppl: 107.94	in Epoch15
Loss: -4.77	Ppl: 102.52	in Epoch16
Loss: -4.60	Ppl: 97.38	in Epoch17
Loss: -4.51	Ppl: 92.56	in Epoch18
Loss: -4.51	Ppl: 87.99	in Epoch19
Loss: -4.46	Ppl: 83.72	in Epoch20
Loss: -4.37	Ppl: 79.60	in Epoch21
Loss: -4.31	Ppl: 75.74	in Epoch22
Loss: -4.30	Ppl: 72.13	in Epoch23
Loss: -4.27	Ppl: 68.66	in Epoch24
Loss: -4.09	Ppl: 65.45	in Epoch25
Loss: -4.19	Ppl: 62.50	in Epoch26
Loss: -4.13	Ppl: 59.70	in Epoch27
Loss: -4.05	Ppl: 57.15	in Epoch28
Loss: -4.12	Ppl: 54.74	in Epoch29
Loss: -4.08	Ppl: 52.57	in Epoch30
Loss: -3.94	Ppl: 50.51	in Epoch31
Loss: -4.04	Ppl: 48.58	in Epoch32
Loss: -3.93	Ppl: 46.90	in Epoch33
Loss: -3.85	Ppl: 45.22	in Epoch34
Loss: -3.74	Ppl: 43.72	in Epoch35
Loss: -3.74	Ppl: 42.27	in Epoch36
Loss: -3.72	Ppl: 40.92	in Epoch37
Loss: -3.69	Ppl: 39.64	in Epoch38
Loss: -3.65	Ppl: 38.46	in Epoch39
Loss: -3.64	Ppl: 37.27	in Epoch40
Loss: -3.63	Ppl: 36.16	in Epoch41
Loss: -3.51	Ppl: 35.14	in Epoch42
Loss: -3.52	Ppl: 34.14	in Epoch43
Loss: -3.58	Ppl: 33.19	in Epoch44
Loss: -3.53	Ppl: 32.36	in Epoch45
Loss: -3.53	Ppl: 31.45	in Epoch46
Loss: -3.54	Ppl: 30.65	in Epoch47
Loss: -3.43	Ppl: 29.75	in Epoch48
Loss: -3.47	Ppl: 29.03	in Epoch49
Loss: -3.49	Ppl: 28.30	in Epoch50
Loss: -3.42	Ppl: 27.46	in Epoch51
Loss: -3.48	Ppl: 26.77	in Epoch52
Loss: -3.40	Ppl: 26.15	in Epoch53
Loss: -3.41	Ppl: 25.46	in Epoch54
Loss: -3.22	Ppl: 24.83	in Epoch55
Loss: -3.18	Ppl: 24.28	in Epoch56
Loss: -3.13	Ppl: 23.70	in Epoch57
Loss: -3.17	Ppl: 23.12	in Epoch58
Loss: -3.17	Ppl: 22.49	in Epoch59
Loss: -3.16	Ppl: 22.07	in Epoch60
Loss: -3.20	Ppl: 21.59	in Epoch61
Loss: -3.07	Ppl: 21.06	in Epoch62
Loss: -3.09	Ppl: 20.52	in Epoch63
Loss: -3.01	Ppl: 20.10	in Epoch64
Loss: -2.99	Ppl: 19.59	in Epoch65
Loss: -3.07	Ppl: 19.14	in Epoch66
Loss: -3.00	Ppl: 18.68	in Epoch67
Loss: -2.89	Ppl: 18.32	in Epoch68
Loss: -2.90	Ppl: 17.93	in Epoch69
Loss: -2.86	Ppl: 17.39	in Epoch70
Loss: -2.88	Ppl: 17.06	in Epoch71
Loss: -2.91	Ppl: 16.68	in Epoch72
Loss: -2.95	Ppl: 16.37	in Epoch73
Loss: -2.90	Ppl: 16.02	in Epoch74
